,community_area,cnt,__fileposition__
1,0,184386,0
2,25,152230,16
3,23,72042,32
4,29,63573,48
5,8,54400,64
6,67,52276,80
7,26,48680,96
8,43,46529,112
9,28,46287,128
10,27,45659,144
11,68,45441,160
12,71,44250,176
13,49,43041,192
14,61,42308,208
15,66,41574,224
16,69,39779,240
17,32,35746,256
18,24,33576,272
19,44,33246,288
20,42,30605,304
21,46,28888,320
22,30,28514,336
23,3,28099,352
24,19,27123,368
25,22,26041,384
26,1,25856,400
27,35,25513,416
28,53,24884,432
29,38,23708,448
30,6,22560,464
31,40,18871,480
32,15,17638,496
33,31,16179,512
34,73,15970,528
35,33,15355,544
36,58,15307,560
37,63,14546,576
38,77,13712,592
39,7,13338,608
40,16,13184,624
41,14,13128,640
42,2,12797,656
43,56,12551,672
44,21,11709,688
45,75,10523,704
46,65,10503,720
47,20,9617,736
48,70,9019,752
49,51,8517,768
50,4,7881,784
51,60,7463,800
52,76,7435,816
53,37,7353,832
54,5,6993,848
55,39,6400,864
56,52,6214,880
57,59,6157,896
58,54,6121,912
59,17,5955,928
60,41,5797,944
61,48,5691,960
62,45,5654,976
63,34,5421,992
64,50,5259,1008
65,62,4448,1024
66,57,4270,1040
67,11,4013,1056
68,64,3940,1072
69,10,3768,1088
70,13,3685,1104
71,72,2901,1120
72,36,2662,1136
73,55,2386,1152
74,74,2160,1168
75,18,2094,1184
76,47,1883,1200
77,12,1201,1216
78,9,694,1232
