,date_crime_year,date_crime_month,cnt,__fileposition__
1,2001,1,12235,0
2,2001,2,10965,24
3,2001,3,12489,48
4,2001,4,11868,72
5,2001,5,12057,96
6,2001,6,11922,120
7,2001,7,11907,144
8,2001,8,12214,168
9,2001,9,11395,192
10,2001,10,11923,216
11,2001,11,11766,240
12,2001,12,11159,264
13,2002,1,12210,288
14,2002,2,11309,312
15,2002,3,12126,336
16,2002,4,12188,360
17,2002,5,12717,384
18,2002,6,11942,408
19,2002,7,12082,432
20,2002,8,11849,456
21,2002,9,11247,480
22,2002,10,11967,504
23,2002,11,10805,528
24,2002,12,11100,552
25,2003,1,11852,576
26,2003,2,10702,600
27,2003,3,11557,624
28,2003,4,11528,648
29,2003,5,12047,672
30,2003,6,11377,696
31,2003,7,11646,720
32,2003,8,12627,744
33,2003,9,12322,768
34,2003,10,13491,792
35,2003,11,11818,816
36,2003,12,10601,840
37,2004,1,11682,864
38,2004,2,11683,888
39,2004,3,12625,912
40,2004,4,12121,936
41,2004,5,12430,960
42,2004,6,11702,984
43,2004,7,12456,1008
44,2004,8,12828,1032
45,2004,9,12710,1056
46,2004,10,12542,1080
47,2004,11,11445,1104
48,2004,12,10456,1128
49,2005,1,11374,1152
50,2005,2,11214,1176
51,2005,3,12296,1200
52,2005,4,12326,1224
53,2005,5,12401,1248
54,2005,6,11839,1272
55,2005,7,12122,1296
56,2005,8,12379,1320
57,2005,9,11945,1344
58,2005,10,11846,1368
59,2005,11,10892,1392
60,2005,12,10256,1416
61,2006,1,11475,1440
62,2006,2,10080,1464
63,2006,3,11420,1488
64,2006,4,11063,1512
65,2006,5,11837,1536
66,2006,6,11536,1560
67,2006,7,11928,1584
68,2006,8,12022,1608
69,2006,9,11338,1632
70,2006,10,11479,1656
71,2006,11,11008,1680
72,2006,12,10189,1704
73,2007,1,11104,1728
74,2007,2,9428,1752
75,2007,3,11628,1776
76,2007,4,11106,1800
77,2007,5,11825,1824
78,2007,6,11482,1848
79,2007,7,12003,1872
80,2007,8,11666,1896
81,2007,9,11497,1920
82,2007,10,11073,1944
83,2007,11,10037,1968
84,2007,12,8988,1992
85,2008,1,9037,2016
86,2008,2,8313,2040
87,2008,3,9250,2064
88,2008,4,8992,2088
89,2008,5,9468,2112
90,2008,6,8845,2136
91,2008,7,9910,2160
92,2008,8,10568,2184
93,2008,9,9421,2208
94,2008,10,9822,2232
95,2008,11,8706,2256
96,2008,12,7607,2280
97,2009,1,8536,2304
98,2009,2,8236,2328
99,2009,3,9855,2352
100,2009,4,9192,2376
101,2009,5,9887,2400
102,2009,6,9575,2424
103,2009,7,9522,2448
104,2009,8,9972,2472
105,2009,9,9565,2496
106,2009,10,9527,2520
107,2009,11,9004,2544
108,2009,12,7872,2568
109,2010,1,9087,2592
110,2010,2,8519,2616
111,2010,3,9579,2640
112,2010,4,8698,2664
113,2010,5,8594,2688
114,2010,6,8046,2712
115,2010,7,8200,2736
116,2010,8,8532,2760
117,2010,9,8698,2784
118,2010,10,8413,2808
119,2010,11,7578,2832
120,2010,12,6479,2856
121,2011,1,7844,2880
122,2011,2,6488,2904
123,2011,3,8404,2928
124,2011,4,7902,2952
125,2011,5,8146,2976
126,2011,6,8554,3000
127,2011,7,8849,3024
128,2011,8,9034,3048
129,2011,9,8276,3072
130,2011,10,7965,3096
131,2011,11,7435,3120
132,2011,12,7282,3144
133,2012,1,7553,3168
134,2012,2,7621,3192
135,2012,3,8399,3216
136,2012,4,7407,3240
137,2012,5,7895,3264
138,2012,6,8036,3288
139,2012,7,8435,3312
140,2012,8,7706,3336
141,2012,9,7272,3360
142,2012,10,7216,3384
143,2012,11,6540,3408
144,2012,12,6457,3432
145,2013,1,7333,3456
146,2013,2,6744,3480
147,2013,3,7700,3504
148,2013,4,7513,3528
149,2013,5,8102,3552
150,2013,6,7412,3576
151,2013,7,7567,3600
152,2013,8,7718,3624
153,2013,9,7069,3648
154,2013,10,6908,3672
155,2013,11,6540,3696
156,2013,12,5812,3720
157,2014,1,5719,3744
158,2014,2,5804,3768
159,2014,3,6801,3792
160,2014,4,6792,3816
161,2014,5,7346,3840
162,2014,6,7101,3864
163,2014,7,7567,3888
164,2014,8,7286,3912
165,2014,9,6719,3936
166,2014,10,6827,3960
167,2014,11,5831,3984
168,2014,12,5451,4008
169,2015,1,6139,4032
170,2015,2,5138,4056
171,2015,3,6578,4080
172,2015,4,5934,4104
173,2015,5,6279,4128
174,2015,6,5964,4152
175,2015,7,6251,4176
176,2015,8,6216,4200
177,2015,9,5881,4224
178,2015,10,5884,4248
179,2015,11,5063,4272
180,2015,12,4290,4296
181,2016,1,4223,4320
182,2016,2,4194,4344
183,2016,3,4878,4368
184,2016,4,4909,4392
185,2016,5,5123,4416
186,2016,6,4917,4440
187,2016,7,4572,4464
188,2016,8,4128,4488
189,2016,9,4145,4512
190,2016,10,4036,4536
191,2016,11,3744,4560
192,2016,12,3507,4584
193,2017,1,4186,4608
194,2017,2,3966,4632
195,2017,3,4230,4656
196,2017,4,4273,4680
197,2017,5,4559,4704
198,2017,6,4245,4728
199,2017,7,4309,4752
200,2017,8,2141,4776
