,date_crime_year,date_crime_season,cnt,__fileposition__
1,2001,"Fall",4257,0
2,2002,"Summer",4151,24
3,2002,"Fall",4025,50
4,2001,"Summer",3981,74
5,2003,"Summer",3641,100
6,2003,"Fall",3464,126
7,2001,"Spring",3439,150
8,2002,"Spring",3380,176
9,2008,"Summer",3354,202
10,2008,"Fall",3284,228
11,2009,"Summer",3279,252
12,2003,"Spring",3231,278
13,2016,"Summer",3231,304
14,2002,"Winter",3181,330
15,2005,"Summer",3171,356
16,2004,"Summer",3152,382
17,2001,"Winter",3111,408
18,2016,"Fall",3096,434
19,2007,"Summer",3021,458
20,2006,"Summer",2998,484
21,2007,"Fall",2985,510
22,2004,"Fall",2974,534
23,2009,"Spring",2849,558
24,2005,"Fall",2845,584
25,2012,"Summer",2828,608
26,2003,"Winter",2776,634
27,2008,"Spring",2745,660
28,2006,"Fall",2731,686
29,2004,"Spring",2728,710
30,2009,"Fall",2726,736
31,2010,"Summer",2703,760
32,2011,"Summer",2652,786
33,2016,"Spring",2643,812
34,2011,"Fall",2622,838
35,2010,"Fall",2617,862
36,2005,"Spring",2600,886
37,2012,"Fall",2579,912
38,2017,"Spring",2533,936
39,2004,"Winter",2503,962
40,2006,"Spring",2493,988
41,2016,"Winter",2488,1014
42,2006,"Winter",2443,1040
43,2009,"Winter",2394,1066
44,2007,"Spring",2382,1092
45,2015,"Summer",2373,1118
46,2017,"Summer",2367,1144
47,2012,"Spring",2337,1170
48,2008,"Winter",2328,1196
49,2010,"Spring",2317,1222
50,2015,"Fall",2314,1248
51,2013,"Summer",2267,1272
52,2005,"Winter",2261,1298
53,2011,"Spring",2254,1324
54,2014,"Summer",2157,1350
55,2011,"Winter",2066,1376
56,2007,"Winter",2037,1402
57,2010,"Winter",1990,1428
58,2015,"Spring",1986,1454
59,2013,"Winter",1964,1480
60,2012,"Winter",1947,1506
61,2014,"Fall",1942,1532
62,2013,"Fall",1885,1556
63,2014,"Spring",1852,1580
64,2015,"Winter",1794,1606
65,2014,"Winter",1751,1632
66,2013,"Spring",1738,1658
67,2017,"Winter",1677,1684
